,author,date,event_type,message
0,ConnorLi,2018-12-03T06:59:13Z,PushEvent,uodates
1,ConnorLi,2018-12-01T16:41:18Z,PushEvent,Update README.md
2,ConnorLi,2018-12-01T16:36:25Z,PushEvent,updates
3,ConnorLi,2018-12-01T16:31:01Z,PushEvent,updates
4,ConnorLi,2018-12-01T16:28:24Z,PushEvent,updates
5,ConnorLi,2018-12-01T15:29:51Z,PushEvent,updates
6,ConnorLi,2018-12-01T08:29:24Z,PushEvent,Update README.md
7,GAO Chao,2018-12-01T05:28:39Z,PushEvent,gc's new chars
8,GAO Chao,2018-11-30T07:37:35Z,PushEvent,gc's work
9,Celine,2018-12-02T18:48:37Z,PushEvent,Add files via upload
10,Celine,2018-11-29T16:02:26Z,PushEvent,Add files via upload
11,Celine,2018-11-29T14:43:22Z,PushEvent,"Add files via upload

teamwork process_2018.11.29"
12,Celine,2018-11-29T14:41:34Z,PushEvent,Create 1
13,iiiJenny,2018-11-30T08:48:09Z,PushEvent,update
14,iiiJenny,2018-11-30T08:44:02Z,PushEvent,update
15,lullabymia,2018-12-01T13:27:23Z,PushEvent,Add files via upload
16,lullabymia,2018-12-01T13:26:40Z,PushEvent,Create README.md
17,lullabymia,2018-12-01T07:47:59Z,PushEvent,Add files via upload
18,lullabymia,2018-12-01T07:47:27Z,PushEvent,Delete step2 word counting.ipynb
19,lullabymia,2018-12-01T07:46:57Z,PushEvent,Add files via upload
20,lullabymia,2018-12-01T07:23:02Z,PushEvent,Delete 人民日报201704.csv
21,lullabymia,2018-12-01T07:22:34Z,PushEvent,Delete 人民日报201703.csv
22,lullabymia,2018-12-01T07:22:11Z,PushEvent,Delete 人民日报201702.csv
23,lullabymia,2018-12-01T07:21:47Z,PushEvent,Delete 人民日报201701.csv
24,lullabymia,2018-12-01T07:02:47Z,PushEvent,Add files via upload
25,lullabymia,2018-12-01T06:58:25Z,PushEvent,Add files via upload
26,lullabymia,2018-12-01T06:54:17Z,PushEvent,Add files via upload
27,lullabymia,2018-11-30T12:52:17Z,PushEvent,Add files via upload
28,lullabymia,2018-11-30T09:54:35Z,PushEvent,Add files via upload
29,lullabymia,2018-11-30T09:54:11Z,PushEvent,Create README.md
30,lullabymia,2018-11-30T09:02:32Z,PushEvent,Add files via upload
31,lullabymia,2018-11-30T05:24:51Z,PushEvent,Add files via upload
32,lullabymia,2018-11-30T05:23:38Z,PushEvent,Add files via upload
33,lullabymia,2018-11-30T05:20:33Z,PushEvent,Create README.md
34,lullabymia,2018-11-30T05:19:32Z,PushEvent,Add files via upload
35,lullabymia,2018-11-30T05:18:05Z,PushEvent,Create README.md
36,lullabymia,2018-11-30T05:17:30Z,PushEvent,Add files via upload
37,lullabymia,2018-11-30T05:15:10Z,PushEvent,Create README.md
38,lullabymia,2018-11-30T05:10:40Z,PushEvent,Update README.md
